Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
220,"Carlik Jones, Radford (Big South)",So.,6-0,G,31,183,22,100,488,15.7,2019
221,"Ty-Shon Alexander, Creighton (Big East)",So.,6-4,G,34,176,97,85,534,15.7,2019
222,"Desmond Cambridge, Brown (Ivy League)",So.,6-4,G,30,162,76,71,471,15.7,2019
223,"Marvin Prochet, Niagara (MAAC)",Sr.,6-7,F,29,150,75,80,455,15.7,2019
224,"Ahmad Clark, UAlbany (America East)",Jr.,6-1,G,32,157,58,130,502,15.7,2019
225,"Jake Toolson, Utah Valley (WAC)",Jr.,6-5,G,35,188,69,103,548,15.7,2019
226,"Michael Flowers, Western Mich. (MAC)",So.,6-2,G,32,151,65,134,501,15.7,2019
227,"Jarkel Joiner, CSU Bakersfield (WAC)",So.,6-1,G,34,208,50,66,532,15.6,2019
228,"Aubrey Dawkins, UCF (AAC)",Jr.,6-6,G,33,181,73,81,516,15.6,2019
229,"Anthony Cowan, Maryland (Big Ten)",Jr.,6-0,G,34,168,70,125,531,15.6,2019
230,"J.D. Paige, Colorado St. (Mountain West)",Sr.,6-3,G,31,172,65,75,484,15.6,2019
230,"Justin Ravenal, Florida A&M (MEAC)",Sr.,6-1,G,31,157,104,66,484,15.6,2019
232,"Adam Grant, Bryant (NEC)",Jr.,6-1,G,30,162,80,64,468,15.6,2019
233,"Gary Blackston, Prairie View (SWAC)",Sr.,6-2,G,34,176,49,128,529,15.6,2019
234,"Anthony Adger, Fla. Atlantic (CUSA)",Sr.,6-1,G,33,154,93,112,513,15.5,2019
234,"Jaelan Sanford, Toledo (MAC)",Sr.,6-4,G,33,192,54,75,513,15.5,2019
236,"Michael Ertel, ULM (Sun Belt)",So.,6-2,G,35,191,80,82,544,15.5,2019
236,"Juwan Morgan, Indiana (Big Ten)",Sr.,6-7,F,35,215,26,88,544,15.5,2019
238,"JD Notae, Jacksonville (ASUN)",So.,6-1,G,32,177,62,81,497,15.5,2019
239,"Xavier Johnson, Pittsburgh (ACC)",Fr.,6-3,G,33,159,37,157,512,15.5,2019
239,"Jamaal King, Saint Francis (PA) (NEC)",Sr.,5-9,G,33,176,54,106,512,15.5,2019
241,"Josiah Wallace, Eastern Ill. (OVC)",So.,6-4,G,32,173,61,89,496,15.5,2019
242,"Daquan Bracey, Louisiana Tech (CUSA)",Jr.,5-11,G,31,174,47,85,480,15.5,2019
243,"Tarkus Ferguson, UIC (Horizon)",Jr.,6-4,G,32,163,100,69,495,15.5,2019
244,"Skyler Flatten, South Dakota St. (Summit League)",Sr.,6-6,G,33,185,84,56,510,15.5,2019
245,"Kyle Guy, Virginia (ACC)",Jr.,6-2,G,38,198,120,70,586,15.4,2019
