Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
233,"Paul Bruns, North Dakota (Summit League)",Fr.,6-4,G,31,150,72,88,460,14.8,2022
234,"Abu Kigab, Boise St. (Mountain West)",Sr.,6-7,F,35,178,31,132,519,14.8,2022
235,"Keondre Kennedy, UMBC (America East)",Sr.,6-6,G,31,177,61,44,459,14.8,2022
236,"Chuba Ohams, Fordham (Atlantic 10)",Sr.,6-9,F,30,169,3,103,444,14.8,2022
237,"Holland Woods, Grand Canyon (WAC)",Sr.,6-0,G,29,138,58,95,429,14.8,2022
238,"Jordan Usher, Georgia Tech (ACC)",Sr.,6-7,F,32,181,41,70,473,14.8,2022
239,"Justin Moore, Villanova (Big East)",Jr.,6-4,G,36,181,80,90,532,14.8,2022
240,"Quenton Jackson, Texas A&M (SEC)",Sr.,6-5,G,40,189,44,169,591,14.8,2022
241,"Adama Sanogo, UConn (Big East)",So.,6-9,F,29,179,0,70,428,14.8,2022
242,"Felipe Haase, Mercer (SoCon)",Sr.,6-9,F,33,160,71,96,487,14.8,2022
243,"John Hugley IV, Pittsburgh (ACC)",So.,6-9,F,32,154,7,157,472,14.8,2022
244,"Camron Justice, Western Ky. (C-USA)",Sr.,6-3,G,30,146,76,74,442,14.7,2022
244,"Nicholas Robinson, Western Caro. (SoCon)",Sr.,6-5,G,30,149,56,88,442,14.7,2022
244,"Ethan Wright, Princeton (Ivy League)",Sr.,6-2,G,30,168,70,36,442,14.7,2022
247,"Corey Allen, Georgia St. (Sun Belt)",Sr.,6-2,G,26,132,69,50,383,14.7,2022
248,"Rudi Williams, Coastal Carolina (Sun Belt)",Sr.,6-2,G,33,176,51,83,486,14.7,2022
249,"Lance Jones, Southern Ill. (MVC)",Jr.,6-1,G,29,156,61,54,427,14.7,2022
250,"Isaiah Stevens, Colorado St. (Mountain West)",Jr.,6-0,G,31,165,43,83,456,14.7,2022
251,"Jamal Bieniemy, UTEP (C-USA)",Jr.,6-4,G,30,163,68,47,441,14.7,2022
252,"Eric Ayala, Maryland (Big Ten)",Sr.,6-5,G,31,153,74,75,455,14.7,2022
252,"Cameron Tyson, Seattle U (WAC)",So.,6-3,G,31,155,105,40,455,14.7,2022
254,"Neal Quinn, Lafayette (Patriot)",Jr.,7-0,F,30,174,2,90,440,14.7,2022
255,"Nelly Cummings, Colgate (Patriot)",Sr.,6-0,G,32,154,62,99,469,14.7,2022
255,"Kahliel Spear, Robert Morris (Horizon)",Sr.,6-7,F,32,188,8,85,469,14.7,2022
257,"Walker Miller, Monmouth (MAAC)",Sr.,6-10,F,34,183,22,110,498,14.6,2022
258,"Sam Griffin, Tulsa (AAC)",So.,6-3,G,31,162,67,63,454,14.6,2022
259,"Tevian Jones, Southern Utah (Big Sky)",Sr.,6-7,G,28,134,55,87,410,14.6,2022
260,"Jabari Walker, Colorado (Pac-12)",So.,6-9,F,33,160,36,127,483,14.6,2022
261,"Matt Balanc, Quinnipiac (MAAC)",Jr.,6-4,G,30,151,61,76,439,14.6,2022
262,"Ledarrius Brewer, ETSU (SoCon)",Sr.,6-5,G,32,173,60,62,468,14.6,2022
262,"Jordan Shepherd, California (Pac-12)",Sr.,6-4,G,32,160,35,113,468,14.6,2022
264,"Josh Jefferson, Middle Tenn. (C-USA)",Sr.,6-2,G,29,136,71,81,424,14.6,2022
265,"Tyson Jolly, Iona (MAAC)",Sr.,6-4,G,33,170,49,93,482,14.6,2022
265,"Jake LaRavia, Wake Forest (ACC)",Jr.,6-8,G,33,166,28,122,482,14.6,2022
265,"Alfonso Plummer, Illinois (Big Ten)",Sr.,6-1,G,33,154,98,76,482,14.6,2022
268,"Brendan Barry, Dartmouth (Ivy League)",Sr.,6-2,G,25,118,85,44,365,14.6,2022
269,"Gus Okafor, Southeastern La. (Southland)",Jr.,6-6,F,33,157,60,107,481,14.6,2022
270,"Pete Nance, Northwestern (Big Ten)",Sr.,6-10,F,30,166,42,63,437,14.6,2022
271,"Jordan King, ETSU (SoCon)",Jr.,6-0,G,32,163,97,43,466,14.6,2022
272,"Trey Calvin, Wright St. (Horizon)",Jr.,6-0,G,34,186,60,63,495,14.6,2022
273,"D'Maurian Williams, Gardner-Webb (Big South)",So.,6-5,G,31,149,79,74,451,14.5,2022
274,"David DeJulius, Cincinnati (AAC)",Sr.,6-0,G,33,171,49,89,480,14.5,2022
275,"Mason Archambault, South Dakota (Summit League)",Sr.,6-0,G,31,130,56,133,449,14.5,2022
275,"Terry Roberts, Bradley (MVC)",Jr.,6-3,G,31,173,40,63,449,14.5,2022
277,"Atin Wright, CSUN (Big West)",So.,6-1,G,29,136,53,95,420,14.5,2022
278,"David Jones, DePaul (Big East)",So.,6-6,F,28,158,35,54,405,14.5,2022
278,"Tyler Stevenson, Southern Miss. (C-USA)",Jr.,6-8,F,28,167,1,70,405,14.5,2022
280,"Alonzo Verge Jr., Nebraska (Big Ten)",Sr.,6-3,G,31,167,17,97,448,14.5,2022
281,"Nicolas Timberlake, Towson (CAA)",Jr.,6-4,G,34,166,78,81,491,14.4,2022
282,"Colin Slater, Long Beach St. (Big West)",Sr.,6-1,G,33,159,70,88,476,14.4,2022
283,"Jalen Slawson, Furman (SoCon)",Sr.,6-7,F,34,176,41,97,490,14.4,2022
284,"Zach Edey, Purdue (Big Ten)",So.,7-4,C,37,210,0,113,533,14.4,2022
285,"Blake Wesley, Notre Dame (ACC)",Fr.,6-5,G,35,178,54,94,504,14.4,2022
286,"Tre Anderson, Idaho (Big Sky)",Sr.,6-2,G,31,144,37,121,446,14.4,2022
287,"Zach Austin, High Point (Big South)",So.,6-7,F,32,165,67,63,460,14.4,2022
288,"Chris Austin, Portland (WCC)",So.,6-4,G,34,169,45,105,488,14.4,2022
288,"Luka Brajkovic, Davidson (Atlantic 10)",Sr.,6-10,F,34,197,36,58,488,14.4,2022
290,"Zyon Pullin, UC Riverside (Big West)",So.,6-4,G,27,129,14,115,387,14.3,2022
291,"DeAndre Gholston, Milwaukee (Horizon)",Jr.,6-5,G,31,154,56,80,444,14.3,2022
292,"Cameron Henry, Indiana St. (MVC)",Fr.,6-6,G,28,151,31,68,401,14.3,2022
293,"John Knight III, Southern Utah (Big Sky)",Sr.,6-2,G,35,186,7,122,501,14.3,2022
294,"Sam Griesel, North Dakota St. (Summit League)",Sr.,6-7,G,26,124,22,102,372,14.3,2022
295,"David Jean-Baptiste, Chattanooga (SoCon)",Sr.,6-1,G,33,164,89,54,471,14.3,2022
296,"Tamenang Choh, Brown (Ivy League)",Sr.,6-5,F,26,112,18,129,371,14.3,2022
297,"Will Carius, Western Ill. (Summit League)",Sr.,6-7,F,31,139,82,82,442,14.3,2022
297,"Lance Terry, Gardner-Webb (Big South)",Jr.,6-2,G,31,158,57,69,442,14.3,2022
299,"C.J. Keyser, Old Dominion (C-USA)",Sr.,6-3,G,32,181,41,53,456,14.2,2022
300,"Brandon Betson, Chicago St. (WAC)",Jr.,6-1,G,32,160,79,56,455,14.2,2022
301,"AJ Walker, Air Force (Mountain West)",Sr.,6-2,G,28,146,48,58,398,14.2,2022
302,"Ben Vander Plas, Ohio (MAC)",Sr.,6-8,F,35,166,67,98,497,14.2,2022
303,"Justin Hill, Longwood (Big South)",So.,6-0,G,31,148,34,110,440,14.2,2022
304,"Andrew Taylor, Marshall (C-USA)",Jr.,6-3,G,33,185,65,33,468,14.2,2022
304,"Moses Wood, Portland (WCC)",So.,6-8,F,33,148,69,103,468,14.2,2022
306,"Ben Krikke, Valparaiso (MVC)",Jr.,6-9,F,29,166,4,75,411,14.2,2022
307,"Michael Flowers, Washington St. (Pac-12)",Sr.,6-2,G,37,168,100,88,524,14.2,2022
308,"Brandon Rush, FDU (NEC)",Jr.,6-3,G,25,124,40,66,354,14.2,2022
309,"Isaiah Mobley, Southern California (Pac-12)",Jr.,6-10,F,32,161,43,88,453,14.2,2022
310,"John Meeks, Col. of Charleston (CAA)",Sr.,6-6,F,27,137,39,69,382,14.1,2022
311,"Jordan Hall, Saint Joseph's (Atlantic 10)",So.,6-7,F,30,157,68,42,424,14.1,2022
311,"Will Richardson, Oregon (Pac-12)",Sr.,6-5,G,30,148,57,71,424,14.1,2022
313,"Shavar Reynolds, Monmouth (MAAC)",Sr.,6-2,G,31,141,46,110,438,14.1,2022
314,"Chet Holmgren, Gonzaga (WCC)",Fr.,7-0,C,32,170,41,71,452,14.1,2022
315,"Bryson Williams, Texas Tech (Big 12)",Sr.,6-8,F,37,204,40,74,522,14.1,2022
316,"Colby Rogers, Siena (MAAC)",Jr.,6-4,G,28,139,73,44,395,14.1,2022
317,"Moses Flowers, Hartford (America East)",Jr.,6-3,G,29,143,44,79,409,14.1,2022
318,"Christian Braun, Kansas (Big 12)",Jr.,6-6,G,40,207,51,99,564,14.1,2022
318,"Camren Hunter, Central Ark. (ASUN)",Fr.,6-3,G,30,155,25,88,423,14.1,2022
320,"Vince Williams, VCU (Atlantic 10)",Sr.,6-6,F,30,137,65,83,422,14.1,2022
321,"Boo Buie, Northwestern (Big Ten)",Jr.,6-2,G,31,148,62,78,436,14.1,2022
322,"LJ Thorpe, UNC Asheville (Big South)",Sr.,6-5,G,32,167,14,102,450,14.1,2022
323,"Brad Davison, Wisconsin (Big Ten)",Sr.,6-4,G,33,139,78,108,464,14.1,2022
324,"Caleb Hunter, Mississippi Val. (SWAC)",So.,5-10,G,25,122,65,42,351,14,2022
325,"Cedric Henderson Jr., Campbell (Big South)",Sr.,6-6,F,29,163,38,43,407,14,2022
326,"Tykei Greene, Stony Brook (America East)",Sr.,6-4,G,31,159,40,77,435,14,2022
327,"Luka Barisic, Western Ill. (Summit League)",Sr.,6-10,F,32,157,58,77,449,14,2022
328,"Garrett Hicks, Alabama A&M (SWAC)",Jr.,6-0,G,28,136,65,55,392,14,2022
329,"Tucker DeVries, Drake (MVC)",Fr.,6-7,G,36,174,75,79,502,13.9,2022
330,"Ali Ali, Akron (MAC)",So.,6-8,F,34,165,48,96,474,13.9,2022
331,"Kevion Nolan, Jacksonville (ASUN)",Jr.,6-2,G,25,111,67,59,348,13.9,2022
332,"Kennedy Chandler, Tennessee (SEC)",Fr.,6-0,G,34,182,49,60,473,13.9,2022
332,"Jaime Jaquez Jr., UCLA (Pac-12)",Jr.,6-7,G,34,175,21,102,473,13.9,2022
334,"Alijah Martin, Fla. Atlantic (C-USA)",Fr.,6-0,G,33,157,84,61,459,13.9,2022
334,"Cole Swider, Syracuse (ACC)",Sr.,6-9,F,33,160,81,58,459,13.9,2022
336,"Chris Youngblood, Kennesaw St. (ASUN)",So.,6-4,G,30,151,70,45,417,13.9,2022
337,"Kevin Cross, Tulane (AAC)",So.,6-8,F,28,145,9,90,389,13.9,2022
338,"Brandon Horvath, Utah St. (Mountain West)",Sr.,6-10,F,34,182,37,71,472,13.9,2022
339,"Azuolas Tubelis, Arizona (Pac-12)",So.,6-11,F,36,196,10,97,499,13.9,2022
340,"Xavier Bishop, Montana St. (Big Sky)",Sr.,5-8,G,35,162,55,106,485,13.9,2022
341,"Jalyn Hinton, Southeastern La. (Southland)",Jr.,6-6,F,33,167,0,123,457,13.8,2022
341,"Jahvon Quinerly, Alabama (SEC)",Sr.,6-1,G,33,165,50,77,457,13.8,2022
343,"Collin Welp, UC Irvine (Big West)",Sr.,6-9,F,25,128,13,77,346,13.8,2022
344,"Steve Settle, Howard (MEAC)",So.,6-10,F,29,141,30,89,401,13.8,2022
345,"Jordan Gainey, USC Upstate (Big South)",Fr.,6-4,G,32,146,74,76,442,13.8,2022
346,"Kyler Edwards, Houston (AAC)",Sr.,6-4,G,37,164,98,85,511,13.8,2022
347,"Joseph Girard III, Syracuse (ACC)",Jr.,6-1,G,33,142,89,82,455,13.8,2022
348,"Adam Flagler, Baylor (Big 12)",Jr.,6-3,G,31,156,75,40,427,13.8,2022
349,"Ryan Hawkins, Creighton (Big East)",Sr.,6-7,F,35,174,78,56,482,13.8,2022
350,"Posh Alexander, St. John's (NY) (Big East)",So.,6-0,G,29,153,13,80,399,13.8,2022
Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
1,"Antoine Davis, Detroit Mercy (Horizon)",Sr.,6-1,G,33,303,159,165,930,28.2,2023
2,"Jordan Dingle, Penn (Ivy League)",Jr.,6-3,G,28,218,77,143,656,23.4,2023
3,"Darius McGhee, Liberty (ASUN)",Sr.,5-9,G,36,274,162,111,821,22.8,2023
4,"Elijah Pepper, UC Davis (Big West)",Jr.,6-4,G,31,230,68,169,697,22.5,2023
5,"Jordan Walker, UAB (C-USA)",Sr.,5-11,G,33,232,135,137,736,22.3,2023
6,"Zach Edey, Purdue (Big Ten)",Jr.,7-4,C,34,290,0,177,757,22.3,2023
7,"Taevion Kinsey, Marshall (Sun Belt)",Sr.,6-5,G,32,271,19,145,706,22.1,2023
8,"Kendric Davis, Memphis (AAC)",Sr.,5-11,G,34,228,65,223,744,21.9,2023
9,"Max Abmas, Oral Roberts (Summit League)",Sr.,6-0,G,34,233,119,158,743,21.9,2023
10,"Josh Cohen, Saint Francis (PA) (NEC)",Jr.,6-10,F,31,257,0,162,676,21.8,2023
11,"Xavier Castaneda, Akron (MAC)",Sr.,6-1,G,31,176,110,212,674,21.7,2023
12,"James Bishop, George Washington (Atlantic 10)",Sr.,6-2,G,32,240,64,147,691,21.6,2023
13,"Cam Shelton, LMU (CA) (WCC)",Sr.,6-2,G,31,243,55,123,664,21.4,2023
14,"Drew Timme, Gonzaga (WCC)",Sr.,6-10,F,37,313,4,156,786,21.2,2023
15,"Drew Pember, UNC Asheville (Big South)",Sr.,6-10,F,35,205,57,266,733,20.9,2023
16,"Trayce Jackson-Davis, Indiana (Big Ten)",Sr.,6-9,F,32,262,0,146,670,20.9,2023
17,"Jameer Nelson Jr., Delaware (CAA)",Jr.,6-1,G,29,194,50,159,597,20.6,2023
18,"Sam Sessoms, Coppin St. (MEAC)",Sr.,6-0,G,32,239,56,121,655,20.5,2023
19,"Trey Calvin, Wright St. (Horizon)",Sr.,6-0,G,32,250,53,98,651,20.3,2023
20,"Justin Johnson, UTRGV (WAC)",Sr.,6-6,G,31,207,30,186,630,20.3,2023
21,"Kris Murray, Iowa (Big Ten)",Jr.,6-8,F,29,217,66,86,586,20.2,2023
22,"Aaron Estrada, Hofstra (CAA)",Sr.,6-3,G,31,240,70,76,626,20.2,2023
23,"Dalton Knecht, Northern Colo. (Big Sky)",Sr.,6-6,G,32,234,77,101,646,20.2,2023
24,"Andrew Taylor, Marshall (Sun Belt)",Sr.,6-3,G,32,253,83,56,645,20.2,2023
25,"Denver Jones, FIU (C-USA)",So.,6-4,G,28,187,59,131,564,20.1,2023
26,"Jalen Wilson, Kansas (Big 12)",Jr.,6-8,F,36,247,70,159,723,20.1,2023
27,"Jalen Cook, Tulane (AAC)",So.,6-0,G,26,184,57,93,518,19.9,2023
28,"Brandin Podziemski, Santa Clara (WCC)",So.,6-5,G,32,222,81,111,636,19.9,2023
29,"Azuolas Tubelis, Arizona (Pac-12)",Jr.,6-11,F,35,274,10,136,694,19.8,2023
30,"Erik Reynolds II, Saint Joseph's (Atlantic 10)",So.,6-2,G,33,205,99,139,648,19.6,2023
31,"Jalen Moore, Oakland (Horizon)",Sr.,5-11,G,29,164,37,204,569,19.6,2023
32,"Demarcus Sharp, Northwestern St. (Southland)",Sr.,6-3,G,33,251,29,113,644,19.5,2023
33,"RayJ Dennis, Toledo (MAC)",Jr.,6-2,G,35,265,53,100,683,19.5,2023
34,"Noah Thomasson, Niagara (MAAC)",Sr.,6-3,G,31,231,54,88,604,19.5,2023
35,"Ben Krikke, Valparaiso (MVC)",Sr.,6-9,F,32,244,17,117,622,19.4,2023
36,"Isaac Jones, Idaho (Big Sky)",Jr.,6-8,F,31,227,6,140,600,19.4,2023
37,"Jr. Clay, Tennessee St. (OVC)",Jr.,6-0,G,30,196,63,125,580,19.3,2023
38,"Jordan Brown, Louisiana (Sun Belt)",Jr.,6-11,F,33,246,4,141,637,19.3,2023
39,"Emoni Bates, Eastern Mich. (MAC)",So.,6-10,G,30,193,76,115,577,19.2,2023
40,"Jamal Mashburn, Jr., New Mexico (Mountain West)",Jr.,6-2,G,34,233,47,138,651,19.1,2023
41,"Patrick Gardner, Marist (MAAC)",Sr.,6-11,C,33,243,57,88,631,19.1,2023
42,"Elijah Harkless, UNLV (Mountain West)",Sr.,6-3,G,32,193,53,172,611,19.1,2023
43,"Tyler Burton, Richmond (Atlantic 10)",Sr.,6-7,F,33,208,55,156,627,19,2023
43,"Trenton Massner, Western Ill. (Summit League)",Sr.,6-3,G,29,194,85,78,551,19,2023
45,"Isaiah Moore, South Alabama (Sun Belt)",Sr.,6-1,G,34,268,8,98,642,18.9,2023
46,"Tyree Appleby, Wake Forest (ACC)",Sr.,6-0,G,33,186,77,173,622,18.8,2023
47,"Ben Sheppard, Belmont (MVC)",Sr.,6-6,G,32,216,80,91,603,18.8,2023
48,"Marques Warrick, Northern Ky. (Horizon)",Jr.,6-2,G,35,226,87,120,659,18.8,2023
49,"Chris Ledlum, Harvard (Ivy League)",Sr.,6-6,F,28,198,40,91,527,18.8,2023
50,"Brandon Miller, Alabama (SEC)",Fr.,6-9,F,37,222,106,146,696,18.8,2023
51,"Quincy Olivari, Rice (C-USA)",Jr.,6-3,G,35,213,94,134,654,18.7,2023
52,"Isaiah Burke, Morgan St. (MEAC)",Sr.,6-1,G,31,200,92,87,579,18.7,2023
53,"Cameron Tyson, Seattle U (WAC)",Jr.,6-3,G,30,177,97,108,559,18.6,2023
54,"Tucker DeVries, Drake (MVC)",So.,6-7,G,34,212,88,119,631,18.6,2023
55,"Hunter Dickinson, Michigan (Big Ten)",Jr.,7-1,C,34,244,24,117,629,18.5,2023
56,"Jaylen Forbes, Tulane (AAC)",Jr.,6-5,G,31,174,88,136,572,18.5,2023
57,"DaRon Holmes II, Dayton (Atlantic 10)",So.,6-10,F,34,230,6,158,624,18.4,2023
58,"Zyon Pullin, UC Riverside (Big West)",Sr.,6-4,G,29,202,26,101,531,18.3,2023
59,"Divant'e Moffitt, Idaho (Big Sky)",Sr.,6-3,G,32,209,20,147,585,18.3,2023
60,"Zeke Mayo, South Dakota St. (Summit League)",So.,6-3,G,32,198,83,103,582,18.2,2023
61,"BJ Freeman, Milwaukee (Horizon)",So.,6-6,G,32,187,74,133,581,18.2,2023
62,"Cameron Parker, Portland St. (Big Sky)",Sr.,6-2,G,29,155,21,195,526,18.1,2023
63,"Phillip Russell, Southeast Mo. St. (OVC)",So.,5-10,G,34,180,82,173,615,18.1,2023
64,"Jordan Johnson, New Orleans (Southland)",Jr.,6-1,G,27,154,93,86,487,18,2023
65,"Dwayne Cohill, Youngstown St. (Horizon)",Sr.,6-2,G,34,212,53,134,611,18,2023
66,"Terquavion Smith, NC State (ACC)",So.,6-4,G,34,208,91,103,610,17.9,2023
67,"Khalif Battle, Temple (AAC)",So.,6-5,G,27,155,77,97,484,17.9,2023
68,"Bowen Born, UNI (MVC)",So.,5-11,G,32,177,80,139,573,17.9,2023
69,"Isaiah Stevens, Colorado St. (Mountain West)",Sr.,6-0,G,26,171,48,75,465,17.9,2023
70,"Grant Nelson, North Dakota St. (Summit League)",Jr.,6-11,F,30,199,25,113,536,17.9,2023
71,"Mike Miles, TCU (Big 12)",Jr.,6-1,G,27,158,38,128,482,17.9,2023
72,"Jaime Jaquez Jr., UCLA (Pac-12)",Sr.,6-7,G,37,261,33,104,659,17.8,2023
73,"Khalil Shabazz, San Francisco (WCC)",Sr.,6-0,G,34,182,95,146,605,17.8,2023
74,"Ray Harrison, Grand Canyon (WAC)",So.,6-4,G,36,206,50,178,640,17.8,2023
75,"Jarred Godfrey, Purdue Fort Wayne (Horizon)",Sr.,6-5,G,31,173,71,134,551,17.8,2023
76,"Tevian Jones, Southern Utah (WAC)",Sr.,6-7,G,36,193,85,168,639,17.8,2023
76,"Joe Bryant, Norfolk St. (MEAC)",Sr.,6-1,G,32,179,68,142,568,17.8,2023
78,"Jalen Pickett, Penn St. (Big Ten)",Sr.,6-4,G,37,260,45,90,655,17.7,2023
79,"Keion Brooks Jr., Washington (Pac-12)",Sr.,6-7,F,30,186,32,127,531,17.7,2023
80,"Nicolas Timberlake, Towson (CAA)",Sr.,6-4,G,33,197,92,98,584,17.7,2023
81,"Mike Bothwell, Furman (SoCon)",Sr.,6-3,G,36,212,51,162,637,17.7,2023
82,"RaeQuan Battle, Montana St. (Big Sky)",Jr.,6-5,G,35,223,53,120,619,17.7,2023
82,"DeAndre Williams, Memphis (AAC)",Sr.,6-9,F,35,239,29,112,619,17.7,2023
84,"Shaun Doss Jr., Ark.-Pine Bluff (SWAC)",Sr.,6-5,G,31,170,30,178,548,17.7,2023
85,"Boogie Ellis, Southern California (Pac-12)",Sr.,6-3,G,33,190,83,120,583,17.7,2023
85,"Jacob Ognacevic, Lipscomb (ASUN)",So.,6-7,F,33,221,26,115,583,17.7,2023
85,"KJ Williams, LSU (SEC)",Sr.,6-10,F,33,215,58,95,583,17.7,2023
88,"El Ellis, Louisville (ACC)",Sr.,6-3,G,32,189,59,128,565,17.7,2023
89,"Nate Calmese, Lamar University (Southland)",Fr.,6-2,G,31,203,61,80,547,17.6,2023
90,"Markquis Nowell, Kansas St. (Big 12)",Sr.,5-8,G,36,180,88,185,633,17.6,2023
91,"Jalen Cone, Northern Ariz. (Big Sky)",Jr.,5-11,G,33,189,96,106,580,17.6,2023
92,"Sincere Carry, Kent St. (MAC)",Sr.,6-1,G,35,214,64,121,613,17.5,2023
93,"Zhuric Phelps, SMU (AAC)",So.,6-3,G,30,187,47,103,524,17.5,2023
94,"Keyontae Johnson, Kansas St. (Big 12)",Sr.,6-5,F,36,236,47,108,627,17.4,2023
95,"Brendan Adams, George Washington (Atlantic 10)",Sr.,6-4,G,32,188,74,106,556,17.4,2023
96,"Omari Moore, San Jose St. (Mountain West)",Jr.,6-6,G,35,222,67,97,608,17.4,2023
97,"Claudell Harris Jr., Charleston So. (Big South)",So.,6-3,G,30,189,66,77,521,17.4,2023
98,"Tylor Perry, North Texas (C-USA)",Sr.,5-11,G,36,177,112,157,623,17.3,2023
99,"Lamar Norman Jr., Western Mich. (MAC)",Sr.,6-1,G,30,176,85,82,519,17.3,2023
100,"Boo Buie, Northwestern (Big Ten)",Sr.,6-2,G,34,199,64,126,588,17.3,2023
101,"Kam  Woods, N.C. A&T (CAA)",So.,6-2,G,31,177,83,99,536,17.3,2023
102,"RayQuawndis Mitchell, Kansas City (Summit League)",Sr.,6-5,G,32,161,79,152,553,17.3,2023
103,"Marcellus Earlington, San Diego (WCC)",Sr.,6-6,F,30,181,37,119,518,17.3,2023
103,"Jaden House, High Point (Big South)",Jr.,6-4,G,30,175,34,134,518,17.3,2023
105,"Daylen Kountz, Northern Colo. (Big Sky)",Sr.,6-4,G,32,187,33,145,552,17.2,2023
105,"Mekhi Lairy, Miami (OH) (MAC)",Sr.,5-8,G,32,182,58,130,552,17.2,2023
107,"Terrence Shannon Jr., Illinois (Big Ten)",Sr.,6-6,G,31,159,50,166,534,17.2,2023
108,"Adama Sanogo, UConn (Big East)",Jr.,6-9,F,39,277,19,98,671,17.2,2023
109,"Sherif Gross-Bullock, Bryant (America East)",Sr.,6-4,G,29,165,65,102,497,17.1,2023
110,"Maxwell Lewis, Pepperdine (WCC)",So.,6-7,F,31,188,46,107,529,17.1,2023
111,"Jarkel Joiner, NC State (ACC)",Sr.,6-1,G,34,200,62,116,578,17,2023
111,"Shemarri Allen, Kansas City (Summit League)",Sr.,6-4,G,29,172,24,125,493,17,2023
113,"Jarod Lucas, Nevada (Mountain West)",Sr.,6-4,G,33,165,79,151,560,17,2023
114,"Jaelen House, New Mexico (Mountain West)",Sr.,6-0,G,32,170,57,145,542,16.9,2023
115,"Devontae Blanton, Eastern Ky. (ASUN)",Jr.,6-6,F,37,246,40,93,625,16.9,2023
116,"Tyler Harris, South Fla. (AAC)",Sr.,5-9,G,32,174,97,95,540,16.9,2023
116,"Darius Quisenberry, Fordham (Atlantic 10)",Sr.,6-2,G,32,162,70,146,540,16.9,2023
118,"Camren Hunter, Central Ark. (ASUN)",So.,6-3,G,30,182,50,92,506,16.9,2023
119,"Kino Lilly Jr., Brown (Ivy League)",So.,6-0,G,27,160,77,58,455,16.9,2023
120,"Landers Nolley II, Cincinnati (AAC)",Sr.,6-7,G,36,213,96,84,606,16.8,2023
121,"Enrique Freeman, Akron (MAC)",Jr.,6-7,F,33,220,1,114,555,16.8,2023
122,"Walter Clayton Jr., Iona (MAAC)",So.,6-2,G,32,182,72,102,538,16.8,2023
123,"Marcus Sasser, Houston (AAC)",Sr.,6-2,G,36,190,96,128,604,16.8,2023
124,"Atin Wright, CSUN (Big West)",So.,6-1,G,31,153,62,151,519,16.7,2023
125,"Marcus Domask, Southern Ill. (MVC)",Sr.,6-6,F,33,188,54,120,550,16.7,2023
125,"Caleb Love, North Carolina (ACC)",Jr.,6-4,G,33,188,73,101,550,16.7,2023
127,"Dillon Jones, Weber St. (Big Sky)",So.,6-6,F,32,170,36,157,533,16.7,2023
128,"Wesley Cardet, Chicago St. (DI Independent)",So.,6-6,G,31,164,32,156,516,16.6,2023
129,"Jonathan Cisse, UIW (Southland)",Jr.,6-1,G,30,157,53,132,499,16.6,2023
130,"Jalen Rucker, Army West Point (Patriot)",Jr.,5-10,G,33,204,50,90,548,16.6,2023
131,"Demetre Roberts, FDU (NEC)",Sr.,5-8,G,37,203,65,143,614,16.6,2023
132,"Jace Carter, UIC (MVC)",So.,6-5,G,30,171,53,102,497,16.6,2023
133,"B.J. Mack, Wofford (SoCon)",Sr.,6-8,C,32,191,52,96,530,16.6,2023
134,"Leon Ayers III, Bowling Green (MAC)",Sr.,6-5,G,31,187,41,97,512,16.5,2023
135,"Tyler Thomas, Hofstra (CAA)",Sr.,6-3,G,35,229,92,28,578,16.5,2023
136,"Trey Townsend, Oakland (Horizon)",So.,6-6,F,32,212,20,84,528,16.5,2023
137,"Dayvion McKnight, Western Ky. (C-USA)",Jr.,6-1,G,33,199,19,127,544,16.5,2023
138,"Carter Hendricksen, North Florida (ASUN)",Sr.,6-7,F,31,168,72,103,511,16.5,2023
138,"Caleb Huffman, Nicholls (Southland)",Sr.,6-4,G,31,209,60,33,511,16.5,2023
140,"Oscar Tshiebwe, Kentucky (SEC)",Sr.,6-9,F,32,195,0,137,527,16.5,2023
141,"Joseph Girard III, Syracuse (ACC)",Sr.,6-1,G,32,177,88,84,526,16.4,2023
142,"Ishmael Leggett, Rhode Island (Atlantic 10)",So.,6-2,G,31,157,48,147,509,16.4,2023
143,"Grant Basile, Virginia Tech (ACC)",Sr.,6-9,F,34,213,66,66,558,16.4,2023
143,"Morris Udeze, New Mexico (Mountain West)",Sr.,6-8,F,34,210,0,138,558,16.4,2023
145,"Jahmyl Telfort, Northeastern (CAA)",Jr.,6-7,G,30,176,44,95,491,16.4,2023
146,"Branden Carlson, Utah (Pac-12)",Sr.,7-0,C,31,185,41,96,507,16.4,2023
147,"Souley Boum, Xavier (Big East)",Sr.,6-3,G,37,186,78,155,605,16.4,2023
148,"Wade Taylor IV, Texas A&M (SEC)",So.,6-0,G,35,160,79,173,572,16.3,2023
149,"Latrell Wrightsell Jr., Cal St. Fullerton (Big West)",Jr.,6-3,G,30,172,72,74,490,16.3,2023
150,"Ajay Mitchell, UC Santa Barbara (Big West)",So.,6-4,G,35,197,20,157,571,16.3,2023
151,"Stephen Clark, The Citadel (SoCon)",Sr.,6-9,F,32,210,11,90,521,16.3,2023
151,"Judah Mintz, Syracuse (ACC)",Fr.,6-3,G,32,181,20,139,521,16.3,2023
153,"Brice Sensabaugh, Ohio St. (Big Ten)",Fr.,6-6,F,33,197,60,83,537,16.3,2023
