Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
274,"Peter Kiss, Bryant (NEC)",Sr.,6-5,G,27,87,3.2,2022
275,"Corey Perkins, Delaware St. (MEAC)",Fr.,6-2,G,23,74,3.2,2022
276,"Kyler Edwards, Houston (AAC)",Sr.,6-4,G,37,119,3.2,2022
277,"Carlos Paez, Austin Peay (OVC)",Jr.,5-10,G,29,93,3.2,2022
278,"Damien Daniels, Abilene Christian (WAC)",Sr.,5-7,G,36,115,3.2,2022
279,"Antonio ""TJ"" Madlock, South Carolina St. (MEAC)",Fr.,6-3,G,31,99,3.2,2022
280,"Sir'Jabari Rice, New Mexico St. (WAC)",Jr.,6-4,G,32,102,3.2,2022
280,"Dereon Seabron, NC State (ACC)",So.,6-7,G,32,102,3.2,2022
282,"RayQuan Evans, Florida St. (ACC)",Sr.,6-4,G,27,86,3.2,2022
282,"Darius Lee, Houston Christian (Southland)",Sr.,6-6,F,27,86,3.2,2022
284,"Collin Gillespie, Villanova (Big East)",Sr.,6-2,G,38,121,3.2,2022
285,"Malique Jacobs, Kent St. (MAC)",Sr.,6-4,G,33,105,3.2,2022
286,"Paolo Banchero, Duke (ACC)",Fr.,6-10,F,39,124,3.2,2022
287,"Jalen Jackson, A&M-Corpus Christi (Southland)",Jr.,5-11,G,35,111,3.2,2022
287,"Colby Jones, Xavier (Big East)",So.,6-6,G,35,111,3.2,2022
287,"Santiago Vescovi, Tennessee (SEC)",Jr.,6-3,G,35,111,3.2,2022
290,"Joe Toussaint, Iowa (Big Ten)",Jr.,6-0,G,36,114,3.2,2022
290,"P.J. Byrd, Southern U. (SWAC)",Jr.,6-1,G,30,95,3.2,2022
290,"Duke Deen, Troy (Sun Belt)",Fr.,5-8,G,30,95,3.2,2022
290,"Ahamadou Fofana, Canisius (MAAC)",Sr.,6-1,G,30,95,3.2,2022
290,"Cam Spencer, Loyola Maryland (Patriot)",Jr.,6-4,G,30,95,3.2,2022
290,"Javon Freeman-Liberty, DePaul (Big East)",Sr.,6-4,G,24,76,3.2,2022
290,"Bryce Williams, Oklahoma St. (Big 12)",Sr.,6-2,G,24,76,3.2,2022
297,"Joe Bryant, Norfolk St. (MEAC)",Sr.,6-1,G,31,98,3.2,2022
298,"Rich Kelly, Massachusetts (Atlantic 10)",Sr.,6-1,G,32,101,3.2,2022
299,"Jeremy Roach, Duke (ACC)",So.,6-2,G,39,123,3.2,2022
299,"Corey Allen, Georgia St. (Sun Belt)",Sr.,6-2,G,26,82,3.2,2022
299,"Jermaine Couisnard, South Carolina (SEC)",Jr.,6-4,G,26,82,3.2,2022
299,"Geronimo Rubio De La Rosa, Columbia (Ivy League)",Fr.,6-2,G,26,82,3.2,2022
303,"Keon Clergeot, Southeastern La. (Southland)",Sr.,6-1,G,33,104,3.2,2022
304,"Jacob Falko, Binghamton (America East)",Jr.,6-2,G,27,85,3.1,2022
305,"Cameron Holden, Towson (CAA)",Jr.,6-5,F,34,107,3.1,2022
306,"Ty Gordon, Nicholls (Southland)",Sr.,6-1,G,29,91,3.1,2022
307,"Phillip Russell, Southeast Mo. St. (OVC)",Fr.,5-10,G,30,94,3.1,2022
308,"Elijah Davis, Mississippi Val. (SWAC)",Fr.,6-1,G,23,72,3.1,2022
309,"Michael Devoe, Georgia Tech (ACC)",Sr.,6-5,G,31,97,3.1,2022
309,"Mikey Howell, Bradley (MVC)",Sr.,6-3,G,31,97,3.1,2022
309,"Jalen Rucker, Army West Point (Patriot)",So.,5-10,G,31,97,3.1,2022
312,"Josh Pierre-Louis, UC Santa Barbara (Big West)",Jr.,6-4,G,26,81,3.1,2022
313,"Da'Shawn Phillip, UMES (MEAC)",Jr.,6-5,G,27,84,3.1,2022
313,"Jalen Terry, DePaul (Big East)",So.,6-0,G,27,84,3.1,2022
315,"Mason Harrell, Texas St. (Sun Belt)",Sr.,5-9,G,28,87,3.1,2022
315,"Vukasin Masic, Maine (America East)",So.,6-5,G,28,87,3.1,2022
317,"Samari Curtis, Bowling Green (MAC)",So.,6-4,G,30,93,3.1,2022
318,"Rollie Worster, Utah (Pac-12)",So.,6-4,G,31,96,3.1,2022
319,"Andre Jackson Jr., UConn (Big East)",So.,6-6,G,33,102,3.1,2022
319,"Dylan van Eyck, Iona (MAAC)",Sr.,6-8,F,33,102,3.1,2022
321,"Alex Hunter, Furman (SoCon)",Sr.,5-11,G,34,105,3.1,2022
322,"Josip Vrankic, Santa Clara (WCC)",Sr.,6-8,F,25,77,3.1,2022
323,"Tamenang Choh, Brown (Ivy League)",Sr.,6-5,F,26,80,3.1,2022
324,"Kevin McCullar, Texas Tech (Big 12)",Jr.,6-8,G,29,89,3.1,2022
325,"Felix Lemetti, Omaha (Summit League)",Jr.,6-1,G,30,92,3.1,2022
325,"Jeremy Sheppard, Rhode Island (Atlantic 10)",Sr.,6-1,G,30,92,3.1,2022
327,"Buddy Boeheim, Syracuse (ACC)",Sr.,6-6,G,32,98,3.1,2022
328,"Mika Adams-Woods, Cincinnati (AAC)",Jr.,6-3,G,33,101,3.1,2022
328,"Lucas Williamson, Loyola Chicago (MVC)",Sr.,6-4,G,33,101,3.1,2022
330,"Michael Almonacy, App State (Sun Belt)",Sr.,6-0,G,34,104,3.1,2022
330,"Tevin Brown, Murray St. (OVC)",Jr.,6-5,G,34,104,3.1,2022
332,"Ben Vander Plas, Ohio (MAC)",Sr.,6-8,F,35,107,3.1,2022
333,"Jaden Ivey, Purdue (Big Ten)",So.,6-4,G,36,110,3.1,2022
334,"Mike Meadows, Portland (WCC)",So.,6-2,G,26,79,3,2022
335,"Rahsaan Edwards, South Carolina St. (MEAC)",Jr.,6-0,G,27,82,3,2022
336,"Holland Woods, Grand Canyon (WAC)",Sr.,6-0,G,29,88,3,2022
337,"Primo Spears, Duquesne (Atlantic 10)",Fr.,6-3,G,30,91,3,2022
337,"Vince Williams, VCU (Atlantic 10)",Sr.,6-6,F,30,91,3,2022
339,"Adam Flagler, Baylor (Big 12)",Jr.,6-3,G,31,94,3,2022
339,"Dezi Jones, Quinnipiac (MAAC)",So.,5-10,G,31,94,3,2022
341,"Darius Burford, Elon (CAA)",So.,6-0,G,32,97,3,2022
341,"Andrew Funk, Bucknell (Patriot)",Sr.,6-5,G,32,97,3,2022
341,"Harrison Ingram, Stanford (Pac-12)",Fr.,6-7,F,32,97,3,2022
344,"Sigu Sisoho Jawara, Weber St. (Big Sky)",So.,6-3,G,33,100,3,2022
345,"Cobe Williams, Louisiana Tech (C-USA)",So.,6-0,G,34,103,3,2022
346,"Malachi Smith, Chattanooga (SoCon)",So.,6-4,G,35,106,3,2022
347,"Trevion Williams, Purdue (Big Ten)",Sr.,6-9,F,37,112,3,2022
348,"Sasha Stefanovic, Purdue (Big Ten)",Sr.,6-5,G,37,111,3,2022
348,"Michael Forrest, Fla. Atlantic (C-USA)",Jr.,6-0,G,34,102,3,2022
348,"Felipe Haase, Mercer (SoCon)",Sr.,6-9,F,33,99,3,2022
348,"Ray Harrison, Presbyterian (Big South)",So.,6-4,G,32,96,3,2022
348,"Kobe Langley, UNC Greensboro (SoCon)",Jr.,6-1,G,32,96,3,2022
348,"Nicholas Robinson, Western Caro. (SoCon)",Sr.,6-5,G,30,90,3,2022
348,"Ty Perry, Lafayette (Patriot)",Sr.,6-2,G,28,84,3,2022
348,"Zach Cooks, Hofstra (CAA)",Sr.,5-11,G,26,78,3,2022
348,"Will Martinez, Wagner (NEC)",Sr.,6-5,G,26,78,3,2022
Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
1,"Yuri Collins, Saint Louis (Atlantic 10)",Jr.,6-0,G,32,324,10.1,2023
2,"Markquis Nowell, Kansas St. (Big 12)",Sr.,5-8,G,36,297,8.2,2023
3,"Tyler Kolek, Marquette (Big East)",Jr.,6-3,G,36,270,7.5,2023
4,"Isaiah Stevens, Colorado St. (Mountain West)",Sr.,6-0,G,26,175,6.7,2023
5,"Jalen Pickett, Penn St. (Big Ten)",Sr.,6-4,G,37,243,6.6,2023
6,"Tyree Appleby, Wake Forest (ACC)",Sr.,6-0,G,33,212,6.4,2023
7,"Ta'lon Cooper, Minnesota (Big Ten)",Jr.,6-4,G,31,196,6.3,2023
8,"Cameron Parker, Portland St. (Big Sky)",Sr.,6-2,G,29,182,6.3,2023
9,"Dajuan Harris, Kansas (Big 12)",Sr.,6-1,G,36,224,6.2,2023
10,"Themus Fulks, Louisiana (Sun Belt)",So.,6-1,G,34,205,6,2023
11,"Elijah Hawkins, Howard (MEAC)",So.,5-11,G,31,185,6,2023
12,"A.J. Hoggard, Michigan St. (Big Ten)",Jr.,6-4,G,34,201,5.9,2023
13,"Damion Baugh, TCU (Big 12)",Sr.,6-4,G,29,169,5.8,2023
14,"RayJ Dennis, Toledo (MAC)",Jr.,6-2,G,35,202,5.8,2023
15,"Adrian Baldwin Jr., VCU (Atlantic 10)",Jr.,6-0,G,30,173,5.8,2023
16,"Tucker Richardson, Colgate (Patriot)",Sr.,6-5,G,35,198,5.7,2023
17,"Jalen Moore, Oakland (Horizon)",Sr.,5-11,G,29,163,5.6,2023
18,"Jr. Clay, Tennessee St. (OVC)",Jr.,6-0,G,30,165,5.5,2023
19,"P.J. Byrd, Southern U. (SWAC)",Sr.,6-1,G,31,170,5.5,2023
20,"Roman Penn, Drake (MVC)",Sr.,6-0,G,34,186,5.5,2023
21,"Kendric Davis, Memphis (AAC)",Sr.,5-11,G,34,185,5.4,2023
22,"Kihei Clark, Virginia (ACC)",Sr.,5-10,G,33,179,5.4,2023
23,"Terrion Murdix, A&M-Corpus Christi (Southland)",Sr.,6-1,G,31,168,5.4,2023
24,"Trenton Massner, Western Ill. (Summit League)",Sr.,6-3,G,29,157,5.4,2023
25,"Taevion Kinsey, Marshall (Sun Belt)",Sr.,6-5,G,32,173,5.4,2023
26,"Jamal Shead, Houston (AAC)",Jr.,6-1,G,37,200,5.4,2023
27,"Zakai Zeigler, Tennessee (SEC)",So.,5-9,G,30,161,5.4,2023
28,"David DeJulius, Cincinnati (AAC)",Sr.,6-0,G,36,192,5.3,2023
29,"Kaleb Thornton, NIU (MAC)",Sr.,6-0,G,30,159,5.3,2023
30,"Tyler Robertson, Portland (WCC)",Jr.,6-6,G,32,169,5.3,2023
30,"Primo Spears, Georgetown (Big East)",So.,6-3,G,32,169,5.3,2023
32,"Reece Beekman, Virginia (ACC)",Jr.,6-3,G,32,168,5.2,2023
33,"Eric Boone, N.C. Central (MEAC)",Sr.,6-2,G,29,151,5.2,2023
34,"James Bishop, George Washington (Atlantic 10)",Sr.,6-2,G,32,165,5.2,2023
35,"Kerr Kriisa, Arizona (Pac-12)",Jr.,6-3,G,35,180,5.1,2023
36,"Phillip Russell, Southeast Mo. St. (OVC)",So.,5-10,G,34,174,5.1,2023
37,"Ajay Mitchell, UC Santa Barbara (Big West)",So.,6-4,G,35,179,5.1,2023
38,"Will Richardson, Oregon (Pac-12)",Sr.,6-5,G,33,168,5.1,2023
38,"Vonterius Woolbright, Western Caro. (SoCon)",Sr.,6-5,G,33,168,5.1,2023
40,"Pierre Crockrell II, UC Irvine (Big West)",Sr.,6-0,G,35,178,5.1,2023
41,"Tosan Evbuomwan, Princeton (Ivy League)",Sr.,6-8,F,32,161,5,2023
41,"Sam Sessoms, Coppin St. (MEAC)",Sr.,6-0,G,32,161,5,2023
43,"Tyger Campbell, UCLA (Pac-12)",Sr.,5-11,G,37,186,5,2023
44,"Demarcus Sharp, Northwestern St. (Southland)",Sr.,6-3,G,33,165,5,2023
44,"Nick Edwards, Valparaiso (MVC)",Sr.,6-1,G,32,160,5,2023
44,"CJ Fulton, Lafayette (Patriot)",So.,6-2,G,30,150,5,2023
47,"Max Fiedler, Rice (C-USA)",Jr.,6-11,F,35,174,5,2023
48,"Taran Armstrong, California Baptist (WAC)",So.,6-5,G,33,164,5,2023
49,"Mike Mitchell Jr., Pepperdine (WCC)",So.,6-2,G,31,154,5,2023
50,"Rollie Worster, Utah (Pac-12)",Jr.,6-4,G,30,149,5,2023
51,"Daniss Jenkins, Iona (MAAC)",Jr.,6-3,G,35,173,4.9,2023
52,"Craig Porter Jr., Wichita St. (AAC)",Sr.,6-2,G,31,153,4.9,2023
53,"Jalen Cook, Tulane (AAC)",So.,6-0,G,26,128,4.9,2023
54,"Darius Brown II, Montana St. (Big Sky)",Sr.,6-2,G,34,167,4.9,2023
55,"Paul Mulcahy, Rutgers (Big Ten)",Sr.,6-6,G,30,147,4.9,2023
56,"Divant'e Moffitt, Idaho (Big Sky)",Sr.,6-3,G,32,155,4.8,2023
57,"Cameron Holden, Towson (CAA)",Sr.,6-5,F,30,145,4.8,2023
58,"Dwayne Cohill, Youngstown St. (Horizon)",Sr.,6-2,G,34,164,4.8,2023
59,"Jaquan Carlos, Hofstra (CAA)",So.,6-0,G,35,168,4.8,2023
59,"Omari Moore, San Jose St. (Mountain West)",Jr.,6-6,G,35,168,4.8,2023
61,"Sincere Carry, Kent St. (MAC)",Sr.,6-1,G,35,167,4.8,2023
62,"Stephan Swenson, Stetson (ASUN)",Jr.,6-2,G,29,138,4.8,2023
63,"Ryan Nembhard, Creighton (Big East)",So.,6-0,G,37,176,4.8,2023
64,"Nelly Cummings, Pittsburgh (ACC)",Sr.,6-0,G,36,171,4.8,2023
65,"Tristen Newton, UConn (Big East)",Sr.,6-5,G,39,185,4.7,2023
66,"Trey Woodbury, Utah Valley (WAC)",Sr.,6-4,G,37,174,4.7,2023
67,"Ant Nelson, Manhattan (MAAC)",Sr.,6-4,G,30,141,4.7,2023
68,"Andre Jackson Jr., UConn (Big East)",Jr.,6-6,G,36,169,4.7,2023
69,"Umoja Gibson, DePaul (Big East)",Sr.,6-1,G,33,154,4.7,2023
70,"Jaelen House, New Mexico (Mountain West)",Sr.,6-0,G,32,149,4.7,2023
70,"Andrew Taylor, Marshall (Sun Belt)",Sr.,6-3,G,32,149,4.7,2023
72,"Isaiah Moore, South Alabama (Sun Belt)",Sr.,6-1,G,34,158,4.6,2023
73,"Kenan Blackshear, Nevada (Mountain West)",Sr.,6-6,G,33,153,4.6,2023
73,"Caleb Fields, Arkansas St. (Sun Belt)",Jr.,6-0,G,33,153,4.6,2023
75,"Adam Flagler, Baylor (Big 12)",Sr.,6-3,G,32,148,4.6,2023
75,"Judah Mintz, Syracuse (ACC)",Fr.,6-3,G,32,148,4.6,2023
77,"Justyn Mutts, Virginia Tech (ACC)",Sr.,6-7,F,33,152,4.6,2023
78,"JaCobi Wood, Murray St. (MVC)",Jr.,6-2,G,32,147,4.6,2023
79,"Andrew King, Houston Christian (Southland)",Fr.,6-3,G,28,128,4.6,2023
80,"Boo Buie, Northwestern (Big Ten)",Sr.,6-2,G,34,154,4.5,2023
81,"Steven Ashworth, Utah St. (Mountain West)",Jr.,6-1,G,35,158,4.5,2023
82,"Xavier Pinson, New Mexico St. (WAC)",Sr.,6-2,G,24,108,4.5,2023
83,"Russell (Deuce) Dean, Hampton (CAA)",Sr.,6-5,G,32,143,4.5,2023
84,"Chase Hunter, Clemson (ACC)",Jr.,6-3,G,31,138,4.5,2023
84,"Foster Loyer, Davidson (Atlantic 10)",Sr.,6-0,G,31,138,4.5,2023
86,"Braeden Smith, Colgate (Patriot)",Fr.,6-0,G,35,155,4.4,2023
87,"Tamin Lipsey, Iowa St. (Big 12)",Fr.,6-1,G,33,146,4.4,2023
88,"Keishawn Davidson, Belmont (MVC)",Sr.,6-2,G,26,115,4.4,2023
89,"Shamar Givance, UTEP (C-USA)",Sr.,5-10,G,32,141,4.4,2023
90,"Colby Jones, Xavier (Big East)",Jr.,6-6,G,36,158,4.4,2023
91,"Boogie Anderson, Southeastern La. (Southland)",Sr.,6-4,G,31,136,4.4,2023
92,"Robin Duncan, Vermont (America East)",Sr.,6-5,G,34,149,4.4,2023
93,"El Ellis, Louisville (ACC)",Sr.,6-3,G,32,140,4.4,2023
94,"Braden Smith, Purdue (Big Ten)",Fr.,6-0,G,35,153,4.4,2023
95,"Andre Curbelo, St. John's (NY) (Big East)",Jr.,6-1,G,26,113,4.3,2023
96,"Kevion Nolan, Jacksonville (ASUN)",Sr.,6-2,G,29,126,4.3,2023
97,"AJ Cajuste, SFA (WAC)",Jr.,0-0,,32,139,4.3,2023
98,"Anders Nelson, William & Mary (CAA)",Sr.,6-1,G,33,143,4.3,2023
98,"Drew Peterson, Southern California (Pac-12)",Sr.,6-9,G,33,143,4.3,2023
100,"Frankie Collins, Arizona St. (Pac-12)",So.,6-1,G,35,151,4.3,2023
101,"Jared Bynum, Providence (Big East)",Sr.,5-10,G,29,125,4.3,2023
102,"Eric Gaines, UAB (C-USA)",So.,6-2,G,39,168,4.3,2023
103,"Cam Shelton, LMU (CA) (WCC)",Sr.,6-2,G,31,133,4.3,2023
104,"Kyrell Luc, St. Bonaventure (Atlantic 10)",So.,5-11,G,32,137,4.3,2023
105,"Souley Boum, Xavier (Big East)",Sr.,6-3,G,37,158,4.3,2023
106,"Jamarius Burton, Pittsburgh (ACC)",Sr.,6-4,G,34,145,4.3,2023
107,"Aaron Estrada, Hofstra (CAA)",Sr.,6-3,G,31,132,4.3,2023
107,"Donovan Gregory, App State (Sun Belt)",Sr.,6-5,F,31,132,4.3,2023
109,"Cason Wallace, Kentucky (SEC)",Fr.,6-4,G,32,136,4.2,2023
110,"Demetre Roberts, FDU (NEC)",Sr.,5-8,G,37,157,4.2,2023
111,"Kevin Cross, Tulane (AAC)",Jr.,6-8,F,30,127,4.2,2023
112,"Caleb Burgess, UNC Asheville (Big South)",Sr.,6-3,G,35,148,4.2,2023
113,"Michael Green III, Robert Morris (Horizon)",Sr.,5-11,G,31,131,4.2,2023
113,"Byron Joshua, Alcorn (SWAC)",So.,5-11,G,31,131,4.2,2023
115,"Tommy Bruner, Denver (Summit League)",Jr.,6-1,G,32,135,4.2,2023
116,"Zyon Pullin, UC Riverside (Big West)",Sr.,6-4,G,29,122,4.2,2023
117,"Posh Alexander, St. John's (NY) (Big East)",Jr.,6-0,G,30,125,4.2,2023
118,"Kylen Milton, Ark.-Pine Bluff (SWAC)",Jr.,6-4,G,31,129,4.2,2023
119,"Jaylin Hunter, Ohio (MAC)",Jr.,5-11,G,33,137,4.2,2023
119,"Jordan Walker, UAB (C-USA)",Sr.,5-11,G,33,137,4.2,2023
121,"Samari Curtis, Bowling Green (MAC)",Sr.,6-4,G,29,120,4.1,2023
122,"Marcus Carr, Texas (Big 12)",Sr.,6-2,G,38,157,4.1,2023
123,"Khalil Brantley, La Salle (Atlantic 10)",So.,6-1,G,32,132,4.1,2023
124,"Lynn Greer III, Saint Joseph's (Atlantic 10)",So.,6-2,G,33,136,4.1,2023
125,"Wendell Green Jr., Auburn (SEC)",Jr.,5-11,G,34,140,4.1,2023
125,"Terquavion Smith, NC State (ACC)",So.,6-4,G,34,140,4.1,2023
127,"Terrell Burden, Kennesaw St. (ASUN)",Sr.,5-10,G,35,144,4.1,2023
127,"Deshon Parker, Cleveland St. (Horizon)",Jr.,6-4,G,35,144,4.1,2023
129,"JJ White, Omaha (Summit League)",So.,6-2,G,32,131,4.1,2023
130,"Kadary Richmond, Seton Hall (Big East)",Jr.,6-6,G,27,110,4.1,2023
131,"Isaiah Hill, Fresno St. (Mountain West)",Sr.,6-0,G,28,114,4.1,2023
132,"Qua Grant, Sam Houston (WAC)",Sr.,6-1,G,34,138,4.1,2023
133,"Hunter Maldonado, Wyoming (Mountain West)",Sr.,6-7,G,29,117,4,2023
134,"Braden Norris, Loyola Chicago (Atlantic 10)",Sr.,6-0,G,31,125,4,2023
135,"Trayce Jackson-Davis, Indiana (Big Ten)",Sr.,6-9,F,32,129,4,2023
136,"Max Abmas, Oral Roberts (Summit League)",Sr.,6-0,G,34,137,4,2023
137,"Ryan Larson, Col. of Charleston (CAA)",Sr.,6-1,G,35,140,4,2023
137,"Max Shulga, Utah St. (Mountain West)",Jr.,6-4,G,35,140,4,2023
137,"Elijah Stephens, American (Patriot)",So.,5-9,G,32,128,4,2023
137,"Terry Roberts, Georgia (SEC)",Sr.,6-3,G,29,116,4,2023
141,"Sean Halloran, Elon (CAA)",Sr.,6-0,G,32,127,4,2023
142,"Ronald Polite III, George Mason (Atlantic 10)",Jr.,6-2,G,30,119,4,2023
143,"Kyree Brown, New Hampshire (America East)",Jr.,6-0,G,27,107,4,2023
144,"Mekhi Lairy, Miami (OH) (MAC)",Sr.,5-8,G,32,126,3.9,2023
145,"Armoni Foster, Buffalo (MAC)",Sr.,6-4,G,31,122,3.9,2023
146,"Jaden Clayton, Maine (America East)",Fr.,6-1,G,30,118,3.9,2023
146,"Camren Hunter, Central Ark. (ASUN)",So.,6-3,G,30,118,3.9,2023
148,"Dwon Odom, Georgia St. (Sun Belt)",So.,6-2,G,29,114,3.9,2023
149,"Javian McCollum, Siena (MAAC)",So.,6-2,G,27,106,3.9,2023
150,"Anthony Black, Arkansas (SEC)",Fr.,6-7,G,36,141,3.9,2023
151,"Wade Taylor IV, Texas A&M (SEC)",So.,6-0,G,35,137,3.9,2023
152,"JP Pegues, Furman (SoCon)",So.,6-1,G,36,140,3.9,2023
153,"Cameron Henry, Indiana St. (MVC)",So.,6-6,G,34,132,3.9,2023
154,"Craig Beaudion, UMBC (America East)",Sr.,6-3,G,31,120,3.9,2023
154,"Kyron Gibson, UT Arlington (WAC)",Jr.,6-1,G,31,120,3.9,2023
154,"Luis Kortright, Quinnipiac (MAAC)",Jr.,6-3,G,31,120,3.9,2023
157,"Josiah Jeffers, Radford (Big South)",Sr.,6-1,G,36,139,3.9,2023
158,"Derrick Walker, Nebraska (Big Ten)",Sr.,6-9,F,27,104,3.9,2023
159,"Jarron Coleman, Ball St. (MAC)",Sr.,6-5,G,30,115,3.8,2023
159,"Deshawndre Washington, New Mexico St. (WAC)",Jr.,6-7,G,24,92,3.8,2023
161,"Kasen Harrison, Winthrop (Big South)",Jr.,6-2,G,29,111,3.8,2023
161,"Japhet Medor, UTSA (C-USA)",Sr.,5-11,G,29,111,3.8,2023
161,"KJ Simpson, Colorado (Pac-12)",So.,6-2,G,29,111,3.8,2023
164,"Sean Pedulla, Virginia Tech (ACC)",So.,6-1,G,34,130,3.8,2023
165,"Jordan Johnson, New Orleans (Southland)",Jr.,6-1,G,27,103,3.8,2023
166,"Arturo Dean, FIU (C-USA)",Fr.,5-11,G,32,122,3.8,2023
167,"Jalen Benjamin, Mount St. Mary's (MAAC)",Sr.,5-10,G,31,118,3.8,2023
168,"Sam Griesel, Nebraska (Big Ten)",Sr.,6-7,G,30,114,3.8,2023
168,"Corey Perkins, Delaware St. (MEAC)",So.,6-2,G,30,114,3.8,2023
168,"Kellen Tynes, Maine (America East)",So.,6-3,G,30,114,3.8,2023
171,"Marcus Shaver Jr., Boise St. (Mountain West)",Sr.,6-2,G,29,110,3.8,2023
171,"CJ White, Little Rock (OVC)",Sr.,6-5,G,29,110,3.8,2023
173,"Marcus Domask, Southern Ill. (MVC)",Sr.,6-6,F,33,125,3.8,2023
173,"Dayvion McKnight, Western Ky. (C-USA)",Jr.,6-1,G,33,125,3.8,2023
175,"Ezra Manjon, Vanderbilt (SEC)",Sr.,6-0,G,37,140,3.8,2023
176,"Dezi Jones, Quinnipiac (MAAC)",Jr.,5-10,G,32,121,3.8,2023
176,"Xander Rice, Bucknell (Patriot)",Sr.,6-3,G,32,121,3.8,2023
178,"Bryce McBride, Youngstown St. (Horizon)",Sr.,6-2,G,34,128,3.8,2023
179,"Tim Finke, Wright St. (Horizon)",Sr.,6-6,G,33,124,3.8,2023
180,"Colin Porter, Liberty (ASUN)",Fr.,5-9,G,36,135,3.8,2023
180,"Dillon Jones, Weber St. (Big Sky)",So.,6-6,F,32,120,3.8,2023
180,"Hysier Miller, Temple (AAC)",So.,6-1,G,32,120,3.8,2023
183,"Ayinde Hikim, UMass Lowell (America East)",Jr.,5-11,G,31,116,3.7,2023
184,"Mark Freeman, Morehead St. (OVC)",Sr.,5-10,G,30,112,3.7,2023
185,"Jackson Paveletzke, Wofford (SoCon)",Fr.,6-3,G,33,123,3.7,2023
186,"Damian Chong Qui, Purdue Fort Wayne (Horizon)",Sr.,5-8,G,32,119,3.7,2023
187,"Chris Pryor, Lamar University (Southland)",Jr.,5-11,G,31,115,3.7,2023
188,"Malique Jacobs, Kent St. (MAC)",Sr.,6-4,G,34,126,3.7,2023
189,"Damien Daniels, Abilene Christian (WAC)",Sr.,5-7,G,30,111,3.7,2023
190,"Chase Adams, Jackson St. (SWAC)",Jr.,5-8,G,32,118,3.7,2023
190,"Trey Calvin, Wright St. (Horizon)",Sr.,6-0,G,32,118,3.7,2023
192,"Drake Allen, Southern Utah (WAC)",So.,6-4,G,37,136,3.7,2023
193,"Harrison Ingram, Stanford (Pac-12)",So.,6-7,F,33,121,3.7,2023
193,"RJ Greene, LIU (NEC)",Fr.,6-6,G,27,99,3.7,2023
195,"Jalen Hood-Schifino, Indiana (Big Ten)",Fr.,6-6,G,32,117,3.7,2023
195,"Connor McCaffery, Iowa (Big Ten)",Sr.,6-5,G,32,117,3.7,2023
195,"Brandin Podziemski, Santa Clara (WCC)",So.,6-5,G,32,117,3.7,2023
198,"Jarred Godfrey, Purdue Fort Wayne (Horizon)",Sr.,6-5,G,31,113,3.6,2023
199,"Antoine Davis, Detroit Mercy (Horizon)",Sr.,6-1,G,33,120,3.6,2023
200,"Myron Gardner, Little Rock (OVC)",Sr.,6-6,G,30,109,3.6,2023
200,"Meechie Johnson, South Carolina (SEC)",So.,6-2,G,30,109,3.6,2023
202,"Dante Treacy, UNC Greensboro (SoCon)",Sr.,6-0,G,32,116,3.6,2023
203,"Tayshawn Comer, Eastern Ky. (ASUN)",Fr.,6-1,G,37,134,3.6,2023
204,"Jarkel Joiner, NC State (ACC)",Sr.,6-1,G,34,123,3.6,2023
204,"Xavier Rhodes, Northern Ky. (Horizon)",Sr.,6-1,G,34,123,3.6,2023
206,"Josh Bannan, Montana (Big Sky)",Jr.,6-10,F,31,112,3.6,2023
206,"Will Johnston, UTRGV (WAC)",So.,6-3,G,31,112,3.6,2023
208,"Trae English, McNeese (Southland)",So.,6-0,G,28,101,3.6,2023
209,"Antrell Charlton, Fordham (Atlantic 10)",Jr.,6-5,G,33,119,3.6,2023
210,"Jahvon Quinerly, Alabama (SEC)",Sr.,6-1,G,35,126,3.6,2023
210,"Donovan Clay, Missouri St. (MVC)",Sr.,6-8,F,30,108,3.6,2023
212,"Dug McDaniel, Michigan (Big Ten)",Fr.,5-11,G,34,122,3.6,2023
213,"Jacob Falko, Binghamton (America East)",Sr.,6-2,G,31,111,3.6,2023
214,"Jalen Rucker, Army West Point (Patriot)",Jr.,5-10,G,33,118,3.6,2023
215,"Logan Johnson, Saint Mary's (CA) (WCC)",Sr.,6-2,G,35,125,3.6,2023
216,"Carlos Paez, Austin Peay (ASUN)",Sr.,5-10,G,30,107,3.6,2023
217,"De'Vion Harmon, Texas Tech (Big 12)",Sr.,6-2,G,32,114,3.6,2023
217,"Grant Huffman, Davidson (Atlantic 10)",Jr.,6-3,G,32,114,3.6,2023
217,"Courtney Ramey, Arizona (Pac-12)",Sr.,6-3,G,32,114,3.6,2023
217,"Latrell Reid, Saint Peter's (MAAC)",Sr.,6-3,G,32,114,3.6,2023
221,"Ray Harrison, Grand Canyon (WAC)",So.,6-4,G,36,128,3.6,2023
222,"Tre Anderson, UIC (MVC)",Sr.,6-2,G,29,103,3.6,2023
222,"Jameer Nelson Jr., Delaware (CAA)",Jr.,6-1,G,29,103,3.6,2023
224,"Jalen Finch, Ga. Southern (Sun Belt)",Sr.,6-1,G,33,117,3.5,2023
224,"Kenneth Jones, Loyola Maryland (Patriot)",Sr.,6-0,G,33,117,3.5,2023
226,"Greg Dolan, Cornell (Ivy League)",Sr.,6-3,G,28,99,3.5,2023
