Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
224,"Tre Dinkins, Canisius (MAAC)",Jr.,6-2,G,32,114,3.6,2019
224,"Bryson Langdon, Youngstown St. (Horizon)",Sr.,5-9,G,32,114,3.6,2019
226,"Nijel Pack, Miami (FL) (ACC)",Jr.,6-0,G,25,89,3.6,2019
227,"Jordan Rawls, New Mexico St. (CUSA)",Sr.,6-2,G,31,110,3.5,2019
228,"Kobe Elvis, Dayton (Atlantic 10)",Jr.,6-2,G,33,117,3.5,2019
228,"Drew Pember, UNC Asheville (Big South)",Sr.,6-10,F,33,117,3.5,2019
228,"Carter Whitt, Furman (SoCon)",Jr.,6-4,G,33,117,3.5,2019
231,"Kevin Miller, Wake Forest (ACC)",So.,6-0,G,35,124,3.5,2019
232,"Joel Brown, Iona (MAAC)",Sr.,6-3,G,32,113,3.5,2019
233,"Myles Tate, App State (Sun Belt)",Sr.,6-0,G,34,120,3.5,2019
234,"Justin Moore, Drexel (CAA)",So.,6-3,G,31,109,3.5,2019
235,"Zeke Mayo, South Dakota St. (Summit League)",Jr.,6-4,G,35,123,3.5,2019
236,"Trae Broadnax, USC Upstate (Big South)",Jr.,6-4,G,30,105,3.5,2019
237,"RJ Davis, North Carolina (ACC)",Sr.,6-0,G,37,129,3.5,2019
238,"Rob Martin, Southeast Mo. St. (OVC)",So.,5-10,G,31,108,3.5,2019
239,"Pop Isaacs, Texas Tech (Big 12)",So.,6-2,G,34,118,3.5,2019
240,"Melvin Council Jr., Wagner (NEC)",Jr.,6-4,G,33,114,3.5,2019
241,"Jaelen House, New Mexico (Mountain West)",Sr.,6-0,G,31,107,3.5,2019
241,"Jaylon Tyson, California (Pac-12)",Jr.,6-6,G,31,107,3.5,2019
243,"Sam Griffin, Wyoming (Mountain West)",Sr.,6-3,G,32,110,3.4,2019
243,"Chuck Harris, SMU (AAC)",Sr.,6-2,G,32,110,3.4,2019
243,"Bensley Joseph, Miami (FL) (ACC)",Jr.,6-2,G,32,110,3.4,2019
246,"Terrence Edwards Jr., James Madison (Sun Belt)",Jr.,6-6,G,36,123,3.4,2019
247,"Luke Bumbalough, Niagara (MAAC)",Jr.,6-1,G,32,109,3.4,2019
247,"Jordan Pope, Oregon St. (Pac-12)",So.,6-2,G,32,109,3.4,2019
249,"Bobby Pettiford, East Carolina (AAC)",Jr.,6-0,G,33,112,3.4,2019
250,"Caleb Love, Arizona (Pac-12)",Sr.,6-4,G,36,122,3.4,2019
251,"Kavion McClain, Abilene Christian (WAC)",Jr.,5-9,G,34,115,3.4,2019
252,"David Coit, NIU (MAC)",Jr.,5-11,G,29,98,3.4,2019
253,"Kyler Filewich, Wofford (SoCon)",Sr.,6-9,C,32,108,3.4,2019
253,"Corey Tripp, Wofford (SoCon)",Jr.,6-2,G,32,108,3.4,2019
255,"Javian McCollum, Oklahoma (Big 12)",Jr.,6-2,G,30,101,3.4,2019
256,"Tiger Booker, Eastern Ill. (OVC)",Sr.,5-10,G,28,94,3.4,2019
257,"Kamron Hobbs, Morgan St. (MEAC)",Sr.,5-10,G,31,104,3.4,2019
257,"Paul Mulcahy, Washington (Pac-12)",Sr.,6-6,G,31,104,3.4,2019
259,"Alex Huibregtse, Wright St. (Horizon)",Jr.,6-3,G,32,107,3.3,2019
259,"Marcus Millender , South Alabama (Sun Belt)",Fr.,5-11,G,32,107,3.3,2019
261,"Xzayvier Brown, Saint Joseph's (Atlantic 10)",Fr.,6-2,G,35,117,3.3,2019
262,"Jermaine Couisnard, Oregon (Pac-12)",Sr.,6-4,G,36,120,3.3,2019
262,"Miles Brewster, Boston U. (Patriot)",Sr.,6-3,G,33,110,3.3,2019
262,"Tyler Thomas, Hofstra (CAA)",Sr.,6-3,G,33,110,3.3,2019
265,"Keyshaun Langley, UNC Greensboro (SoCon)",Sr.,6-1,G,31,103,3.3,2019
266,"Dezi Jones, Austin Peay (ASUN)",Sr.,5-10,G,35,116,3.3,2019
266,"Day Day Thomas, Cincinnati (Big 12)",Jr.,6-0,G,35,116,3.3,2019
268,"Matt Allocco, Princeton (Ivy League)",Sr.,6-4,G,29,96,3.3,2019
268,"D.J. Wagner, Kentucky (SEC)",Fr.,6-3,G,29,96,3.3,2019
270,"Michael Green III, James Madison (Sun Belt)",Sr.,6-0,G,36,119,3.3,2019
270,"Zeb Jackson, VCU (Atlantic 10)",Sr.,6-5,G,36,119,3.3,2019
272,"Jaland Lowe, Pittsburgh (ACC)",Fr.,6-2,G,33,109,3.3,2019
273,"Jovon McClanahan, Hawaii (Big West)",Sr.,5-10,G,30,99,3.3,2019
274,"Spencer Johnson, BYU (Big 12)",Sr.,6-5,G,34,112,3.3,2019
274,"Jameer Nelson Jr., TCU (Big 12)",Sr.,6-2,G,34,112,3.3,2019
276,"Javon Bennett, Dayton (Atlantic 10)",So.,5-11,G,31,102,3.3,2019
276,"Austin Crowley, Southern Miss. (Sun Belt)",Sr.,6-5,G,31,102,3.3,2019
276,"Liam Lloyd, Northern Ariz. (Big Sky)",Jr.,6-5,G,31,102,3.3,2019
279,"Corey McKeithan, Rider (MAAC)",Sr.,6-2,G,32,105,3.3,2019
280,"Ethan Anderson, Pepperdine (WCC)",Sr.,6-1,G,33,108,3.3,2019
280,"Jeremiah Quigley, Iona (MAAC)",Fr.,5-11,G,33,108,3.3,2019
282,"Avery Anderson III, TCU (Big 12)",Sr.,6-2,G,34,111,3.3,2019
283,"Kobe Johnson, Southern California (Pac-12)",Jr.,6-6,G,31,101,3.3,2019
284,"Jeremy Roach, Duke (ACC)",Sr.,6-2,G,35,114,3.3,2019
285,"Madison Durr, The Citadel (SoCon)",So.,6-4,G,32,104,3.3,2019
285,"Ty Johnson, UC Davis (Big West)",Jr.,6-3,G,32,104,3.3,2019
287,"Nazir Williams, Cornell (Ivy League)",Jr.,6-3,G,29,94,3.2,2019
288,"Desmond Claude, Xavier (Big East)",So.,6-5,G,34,110,3.2,2019
289,"Josh Pierre-Louis, UC Santa Barbara (Big West)",Sr.,6-4,G,30,97,3.2,2019
290,"Jalen Breazeale, USC Upstate (Big South)",Jr.,5-11,G,26,84,3.2,2019
290,"B. Artis White, Western Mich. (MAC)",Jr.,5-10,G,26,84,3.2,2019
292,"Darrion Trammell, San Diego St. (Mountain West)",Sr.,5-10,G,35,113,3.2,2019
293,"Chase Hunter, Clemson (ACC)",Sr.,6-3,G,36,116,3.2,2019
294,"Antrell Charlton, Fordham (Atlantic 10)",Sr.,6-5,G,33,106,3.2,2019
295,"Caden Pierce, Princeton (Ivy League)",So.,6-6,F,29,93,3.2,2019
296,"Tre Donaldson, Auburn (SEC)",So.,6-3,G,35,112,3.2,2019
297,"Justin Hill, Georgia (SEC)",Sr.,6-0,G,37,118,3.2,2019
298,"Frankie Collins, Arizona St. (Pac-12)",Jr.,6-1,G,32,102,3.2,2019
298,"Christyon Eugene, Troy (Sun Belt)",Sr.,6-3,G,32,102,3.2,2019
298,"Jayden Pierre, Providence (Big East)",So.,6-2,G,32,102,3.2,2019
301,"Conor Enright, Drake (MVC)",So.,6-0,G,33,105,3.2,2019
302,"Isaiah Gray, Cornell (Ivy League)",Sr.,6-3,G,28,89,3.2,2019
303,"Josh Corbin, Robert Morris (Horizon)",Sr.,6-3,G,29,92,3.2,2019
303,"Kobe Sanders, Cal Poly (Big West)",Sr.,6-8,G,29,92,3.2,2019
305,"Michael O'Connell, NC State (ACC)",Sr.,6-2,G,41,130,3.2,2019
